operator	time	order_ref	user_name	amount
hanseshhl	2018-04-02 11:25:21	hiifx_201804021125218367	ke50000wan	100.0000	
hanseshhl	2018-04-03 02:20:27	hiifx_201804030220268707	lilisz	1500.0000	
hanseshhl	2018-04-03 02:23:54	hiifx_201804030223549485	chm1980	1500.1200	
hanseshhl	2018-04-03 02:27:11	hiifx_201804030227106893	yhh1120	3000.0000	
hanseshhl	2018-04-03 02:31:34	hiifx_201804030231344359	xh90009	4500.0600	
hanseshhl	2018-04-03 02:33:19	hiifx_201804030233181669	xh90010	3000.0900	
hanseshhl	2018-04-03 02:49:27	hiifx_201804030249264287	ycc123456	1534.3800	
hanseshhl	2018-04-03 02:50:30	hiifx_201804030250291136	ycc123456	1534.3800	
hanseshhl	2018-04-03 03:02:49	hiifx_201804030302483868	gubinghua88	3000.0000	
hanseshhl	2018-04-03 03:08:05	hiifx_201804030308047489	zhang	1500.0000	
hanseshhl	2018-04-03 03:09:36	hiifx_201804030309359686	dfj123456	3000.0000	
hanseshhl	2018-04-03 04:13:35	hiifx_201804030413344177	li8524146	3000.0000	
hanseshhl	2018-04-03 04:15:19	hiifx_201804030415186548	cy690117	1500.0000	
hanseshhl	2018-04-03 04:16:53	hiifx_201804030416529883	hxy123456	15000.0100	
hanseshhl	2018-04-03 04:18:41	hiifx_201804030418418307	Zhangli654321	15000.0100	
TTL781007	2018-04-03 04:45:20	hiifx_201804030445204683	luopishuai	5971.3300	
TTL781007	2018-04-03 04:46:38	hiifx_201804030446379089	zjl123456	3000.0000	
TTL781007	2018-04-03 04:49:36	hiifx_201804030449368896	gsg1108	30000.0000	
TTL781007	2018-04-03 04:50:53	hiifx_201804030450531962	zl123456	4500.0600	
hanseshhl	2018-04-03 05:08:48	hiifx_201804030508485162	lyh123456	4500.0600	
hanseshhl	2018-04-03 05:51:35	hiifx_201804030551342058	yhh1120	27000.0000	
hanseshhl	2018-04-03 06:05:43	hiifx_201804030605436733	zl123456	4500.0600	
hanseshhl	2018-04-03 06:07:20	hiifx_201804030607205138	yp123456	4500.0600	
hanseshhl	2018-04-03 06:08:54	hiifx_201804030608536499	xyc123456	4500.0600	
hanseshhl	2018-04-03 06:12:49	hiifx_201804030612483272	xh90008	18000.1000	
hanseshhl	2018-04-03 06:14:26	hiifx_201804030614253458	xh8299	30000.1700	
TTL781007	2018-04-03 07:01:36	hiifx_201804030701363727	yxr123456	30000.0000	
TTL781007	2018-04-03 07:06:01	hiifx_201804030706017553	haihui	10000.0000	
TTL781007	2018-04-03 09:18:51	hiifx_201804030918511026	zhanghuijun888	1500.0000	
TTL781007	2018-04-03 10:48:08	hiifx_201804031048076487	lxjdhx	7744.0000	
TTL781007	2018-04-03 10:48:52	hiifx_201804031048515690	lxjdhx	4256.0000	
TTL781007	2018-04-03 10:50:15	hiifx_201804031050145591	CHENYICHI	4500.0000	
TTL781007	2018-04-03 11:24:07	hiifx_201804031124071917	whz64215	750.0000	
TTL781007	2018-04-03 11:24:28	hiifx_201804031124287029	clq6727	750.0000	
hanseshhl	2018-04-03 11:38:02	hiifx_201804031138026335	doco8023	10000.0000	
hanseshhl	2018-04-03 11:39:04	hiifx_201804031139043205	xhf0102	1500.0000	
hanseshhl	2018-04-03 11:40:36	hiifx_201804031140357100	xjq1223	1500.0000	
hanseshhl	2018-04-03 11:41:53	hiifx_201804031141528930	ljd0628	1500.0000	
hanseshhl	2018-04-03 11:42:44	hiifx_201804031142433729	zc0909	1500.0000	
hanseshhl	2018-04-03 12:07:01	hiifx_201804031207012948	xv0707	6000.0000	
TTL781007	2018-04-04 03:05:43	hiifx_201804040305429416	ypp1108	30000.0000	
TTL781007	2018-04-04 03:06:37	hiifx_201804040306364429	zhuchunsheng888	750.0000	
TTL781007	2018-04-04 03:08:03	hiifx_201804040308023798	helen168	4000.0000	
TTL781007	2018-04-04 03:08:50	hiifx_201804040308504503	lq123456	1500.0000	
TTL781007	2018-04-04 03:09:31	hiifx_201804040309314369	lxy123456	1500.0000	
TTL781007	2018-04-04 03:10:11	hiifx_201804040310118212	wml123456	1500.0000	
TTL781007	2018-04-04 03:11:33	hiifx_201804040311321791	jsq1319	10000.0000	
TTL781007	2018-04-04 03:20:24	hiifx_201804040320242280	jsq1319	20000.0000	
TTL781007	2018-04-04 03:27:32	hiifx_201804040327323848	zlx1980	27000.0000	
TTL781007	2018-04-04 04:22:30	hiifx_201804040422296114	ZLQ1983	6000.0000	
TTL781007	2018-04-04 04:34:58	hiifx_201804040434585823	xh90037	6000.0000	
TTL781007	2018-04-04 04:37:51	hiifx_201804040437505513	xh90016	3000.0000	
TTL781007	2018-04-04 04:43:50	hiifx_201804040443494202	tang888	750.0000	
TTL781007	2018-04-04 04:44:28	hiifx_201804040444279803	zl19871004	3000.0000	
TTL781007	2018-04-04 04:44:59	hiifx_201804040444595296	ldtanxiao86	750.0000	
